ID,Crate,Bug Location,Downloads,Has Fuzzer,Unit Test Coverage,Size (LoC),Unsafe Uses,L,Extra Bug Identifiers,Description,Comment
0044,signal-simple,,1504,N,,153.0,,,,,
0082,array_iterator,,1500,N,,207.0,,,,,
0047,try-mutex,,1441,N,,198.0,,,,,
0031,abox,,1388,N,,172.0,,,,,
0035,late-static,,1294,N,,126.0,,,,,
0111,insert_many,,1174,,,,,,,,
0062,cgc,,1173,N,,1920.0,,,,,
0065,v9,,1064,N,,4285.0,,,,,
0043,scottqueue,,1045,N,,176.0,,,,,
0083,array-tools,,1031,N,,1238.0,,,,,
0120,osm_pbf_iter,,996,,,,,,,,
0092,csv-sniffer,,991,N,,1026.0,,,,,
0056,gfwx,,990,N,,5660.0,,,,,
0032,conqueue,,975,N,,295.0,,,,,
0112,ms3d,,971,,,,,,,,
0023,convec,,955,N,,327.0,,,,,
0054,tiny_future,,925,N,,205.0,,,,,
0085,cdr,,885,N,,3146.0,,,,,
0076,shine-store,,877,N,,1895.0,,,,,
0153,reorder,,811,,,,,,,,
0051,syncpool,,773,,,1236.0,,,,,
0142,toodee,,767,,,,,,,,
0133,zero-formatter,,734,,,,,,,,
0160,serde-gff,,645,,,,,,,,
0138,uu_od,,608,,,,,,,,
0107,adtensor,,597,,,,,,,,
0066,kekbit,,560,,,1950.0,,,,,
0018,dync,,541,,,5420.0,,,,,
0140,through,,534,,,,,,,,
0158,nano_arena,,496,,,,,,,,
0154,serde-fressian,,491,,,,,,,,
0121,pumpkindb_client,,486,,,,,,,,
0117,ot,,479,,,,,,,,
0077,va-ts,,411,,,4215.0,,,,,
0091,cassandra-proto,,410,,,6976.0,,,,,
0123,qwutils,,403,,,,,,,,
0109,arenavec,,398,,,,,,,,
0135,rucene,,385,,,,,,,,
0088,binjs_io,,348,,,5016.0,,,,,
0143,smallvec-stableunion,,332,,,,,,,,
0057,async-coap,,327,,,7496.0,,,,,
0127,balloons,,316,,,,,,,,
0055,thex,,311,,,214.0,,,,,
0087,bronzedb-protocol,,311,,,675.0,,,,,
0064,disrustor,,304,,,967.0,,,,,
0038,parc,,302,,,309.0,,,,,
0122,outer_cgi,,292,,,,,,,,
0053,bottle,,287,,,921.0,,,,,
0075,shine-stdext,,264,,,1790.0,,,,,
0116,blockbuffers,,257,,,,,,,,
0067,max7301,,224,,,1349.0,,,,,
0086,bra,,223,,,216.0,,,,,
0036,bunch,,190,,,155.0,,,,,
0049,slock,,156,,,304.0,,,,,
0151,topq,,117,,,,,,,,
